"date" "interval" "steps"
"8112" "2012-10-11" 1100 0
"8160" "2012-10-11" 1105 0
"8203" "2012-10-11" 1110 0
"8278" "2012-10-11" 1115 0
"8323" "2012-10-11" 1120 0
"8379" "2012-10-11" 1125 7
"8431" "2012-10-11" 1130 46
"8533" "2012-10-11" 1135 0
"8599" "2012-10-11" 1140 0
"8653" "2012-10-11" 1145 0
"8711" "2012-10-11" 1150 0
"8746" "2012-10-11" 1155 0
"8803" "2012-10-11" 1200 0
"8904" "2012-10-11" 1205 0
"8961" "2012-10-11" 1210 0
"8999" "2012-10-11" 1215 31
"9065" "2012-10-11" 1220 45
"9110" "2012-10-11" 1225 0
"9187" "2012-10-11" 1230 0
"9230" "2012-10-11" 1235 0
"9284" "2012-10-11" 1240 0
"9381" "2012-10-11" 1245 0
"9421" "2012-10-11" 1250 0
"9502" "2012-10-11" 1255 0
"9575" "2012-10-11" 1300 0
"9586" "2012-10-11" 1305 0
"9654" "2012-10-11" 1310 0
"9721" "2012-10-11" 1315 0
"9776" "2012-10-11" 1320 0
"9859" "2012-10-11" 1325 0
"9926" "2012-10-11" 1330 0
"9966" "2012-10-11" 1335 0
"10051" "2012-10-11" 1340 0
"10092" "2012-10-11" 1345 0
"10145" "2012-10-11" 1350 0
"10201" "2012-10-11" 1355 0
"10267" "2012-10-11" 1400 0
"10311" "2012-10-11" 1405 0
"10391" "2012-10-11" 1410 0
"10462" "2012-10-11" 1415 0
"10516" "2012-10-11" 1420 0
"10583" "2012-10-11" 1425 0
"10644" "2012-10-11" 1430 22
"10708" "2012-10-11" 1435 27
"10781" "2012-10-11" 1440 0
"10847" "2012-10-11" 1445 0
"10888" "2012-10-11" 1450 0
"10955" "2012-10-11" 1455 0
"10988" "2012-10-11" 1500 0
"11085" "2012-10-11" 1505 0
"11139" "2012-10-11" 1510 0
"11214" "2012-10-11" 1515 0
"11234" "2012-10-11" 1520 0
"11302" "2012-10-11" 1525 0
"11398" "2012-10-11" 1530 75
"11450" "2012-10-11" 1535 119
"11494" "2012-10-11" 1540 395
"11540" "2012-10-11" 1545 78
"11637" "2012-10-11" 1550 292
"11703" "2012-10-11" 1555 416
"11769" "2012-10-11" 1600 35
"11820" "2012-10-11" 1605 0
"11877" "2012-10-11" 1610 0
"11919" "2012-10-11" 1615 27
"12014" "2012-10-11" 1620 32
"12076" "2012-10-11" 1625 0
"12139" "2012-10-11" 1630 0
"12197" "2012-10-11" 1635 0
"12250" "2012-10-11" 1640 0
"12318" "2012-10-11" 1645 0
"12383" "2012-10-11" 1650 49
"12430" "2012-10-11" 1655 57
"12497" "2012-10-11" 1700 34
"12538" "2012-10-11" 1705 0
"12626" "2012-10-11" 1710 0
"12662" "2012-10-11" 1715 0
"12742" "2012-10-11" 1720 0
"12799" "2012-10-11" 1725 0
"12853" "2012-10-11" 1730 39
"12894" "2012-10-11" 1735 30
"12992" "2012-10-11" 1740 9
"13039" "2012-10-11" 1745 41
"13109" "2012-10-11" 1750 7
"13157" "2012-10-11" 1755 0
"13230" "2012-10-11" 1800 0
"13278" "2012-10-11" 1805 40
"13309" "2012-10-11" 1810 22
"13420" "2012-10-11" 1815 31
"13480" "2012-10-11" 1820 19
"13526" "2012-10-11" 1825 0
"13586" "2012-10-11" 1830 8
"13657" "2012-10-11" 1835 22
"13702" "2012-10-11" 1840 62
"13778" "2012-10-11" 1845 60
"13799" "2012-10-11" 1850 0
"13867" "2012-10-11" 1855 0
"13963" "2012-10-11" 1900 0
"14025" "2012-10-11" 1905 0
"14073" "2012-10-11" 1910 0
"14128" "2012-10-11" 1915 0
"14168" "2012-10-11" 1920 0
"14264" "2012-10-11" 1925 0
"14333" "2012-10-11" 1930 0
"14369" "2012-10-11" 1935 0
"14420" "2012-10-11" 1940 0
"14466" "2012-10-11" 1945 0
"14574" "2012-10-11" 1950 0
"14622" "2012-10-11" 1955 0
"14689" "2012-10-11" 2000 0
"14715" "2012-10-11" 2005 0
"14815" "2012-10-11" 2010 0
"14880" "2012-10-11" 2015 0
"14924" "2012-10-11" 2020 0
"14982" "2012-10-11" 2025 0
"15049" "2012-10-11" 2030 0
"15104" "2012-10-11" 2035 0
"15173" "2012-10-11" 2040 0
"15228" "2012-10-11" 2045 0
"15303" "2012-10-11" 2050 0
"15366" "2012-10-11" 2055 0
"15416" "2012-10-11" 2100 0
"15474" "2012-10-11" 2105 0
"15552" "2012-10-11" 2110 95
"15611" "2012-10-11" 2115 0
"15676" "2012-10-11" 2120 91
"15732" "2012-10-11" 2125 50
"15777" "2012-10-11" 2130 31
"15859" "2012-10-11" 2135 0
"15920" "2012-10-11" 2140 0
"15977" "2012-10-11" 2145 0
"16028" "2012-10-11" 2150 20
"16101" "2012-10-11" 2155 11
"16134" "2012-10-11" 2200 0
"16178" "2012-10-11" 2205 0
"16287" "2012-10-11" 2210 0
"16329" "2012-10-11" 2215 0
"16409" "2012-10-11" 2220 0
"16455" "2012-10-11" 2225 0
"16503" "2012-10-11" 2230 0
"16572" "2012-10-11" 2235 0
"16653" "2012-10-11" 2240 0
"16681" "2012-10-11" 2245 0
"16767" "2012-10-11" 2250 0
"16829" "2012-10-11" 2255 0
"16860" "2012-10-11" 2300 11
"16942" "2012-10-11" 2305 0
"16997" "2012-10-11" 2310 0
"17037" "2012-10-11" 2315 0
"17106" "2012-10-11" 2320 0
"17197" "2012-10-11" 2325 4
"17228" "2012-10-11" 2330 0
"17272" "2012-10-11" 2335 0
"17375" "2012-10-11" 2340 0
"17420" "2012-10-11" 2345 0
"17474" "2012-10-11" 2350 0
"17510" "2012-10-11" 2355 0
"13" "2012-10-12" 0 0
"107" "2012-10-12" 5 0
"134" "2012-10-12" 10 0
"186" "2012-10-12" 15 0
"259" "2012-10-12" 20 0
"365" "2012-10-12" 25 0
"420" "2012-10-12" 30 0
"451" "2012-10-12" 35 0
"518" "2012-10-12" 40 0
"561" "2012-10-12" 45 0
"671" "2012-10-12" 50 0
"702" "2012-10-12" 55 0
"781" "2012-10-12" 100 0
"803" "2012-10-12" 105 0
"878" "2012-10-12" 110 0
"962" "2012-10-12" 115 0
"1037" "2012-10-12" 120 0
"1081" "2012-10-12" 125 0
"1152" "2012-10-12" 130 38
"1215" "2012-10-12" 135 0
"1247" "2012-10-12" 140 0
"1332" "2012-10-12" 145 0
"1401" "2012-10-12" 150 0
"1460" "2012-10-12" 155 0
"1517" "2012-10-12" 200 0
"1579" "2012-10-12" 205 0
"1632" "2012-10-12" 210 0
"1695" "2012-10-12" 215 0
"1767" "2012-10-12" 220 0
"1785" "2012-10-12" 225 0
"1847" "2012-10-12" 230 0
"1907" "2012-10-12" 235 0
"2012" "2012-10-12" 240 0
"2061" "2012-10-12" 245 0
"2124" "2012-10-12" 250 7
"2168" "2012-10-12" 255 0
"2235" "2012-10-12" 300 0
"2277" "2012-10-12" 305 0
"2325" "2012-10-12" 310 0
"2431" "2012-10-12" 315 0
"2494" "2012-10-12" 320 0
"2525" "2012-10-12" 325 0
"2594" "2012-10-12" 330 0
"2661" "2012-10-12" 335 0
"2715" "2012-10-12" 340 0
"2804" "2012-10-12" 345 0
"2859" "2012-10-12" 350 0
"2917" "2012-10-12" 355 0
"2975" "2012-10-12" 400 0
"3032" "2012-10-12" 405 0
"3086" "2012-10-12" 410 0
"3159" "2012-10-12" 415 0
"3233" "2012-10-12" 420 0
"3287" "2012-10-12" 425 0
"3349" "2012-10-12" 430 48
"3402" "2012-10-12" 435 0
"3452" "2012-10-12" 440 0
"3524" "2012-10-12" 445 0
"3578" "2012-10-12" 450 0
"3655" "2012-10-12" 455 0
"3709" "2012-10-12" 500 0
"3777" "2012-10-12" 505 0
"3813" "2012-10-12" 510 0
"3866" "2012-10-12" 515 0
"3952" "2012-10-12" 520 0
"4020" "2012-10-12" 525 0
"4074" "2012-10-12" 530 0
"4096" "2012-10-12" 535 0
"4182" "2012-10-12" 540 30
"4242" "2012-10-12" 545 92
"4283" "2012-10-12" 550 0
"4333" "2012-10-12" 555 11
"4431" "2012-10-12" 600 0
"4472" "2012-10-12" 605 10
"4558" "2012-10-12" 610 19
"4612" "2012-10-12" 615 111
"4666" "2012-10-12" 620 38
"4753" "2012-10-12" 625 16
"4802" "2012-10-12" 630 29
"4875" "2012-10-12" 635 9
"4928" "2012-10-12" 640 45
"4970" "2012-10-12" 645 35
"5049" "2012-10-12" 650 53
"5104" "2012-10-12" 655 43
"5169" "2012-10-12" 700 8
"5241" "2012-10-12" 705 40
"5299" "2012-10-12" 710 0
"5365" "2012-10-12" 715 32
"5419" "2012-10-12" 720 57
"5460" "2012-10-12" 725 35
"5544" "2012-10-12" 730 117
"5597" "2012-10-12" 735 117
"5655" "2012-10-12" 740 25
"5719" "2012-10-12" 745 95
"5785" "2012-10-12" 750 29
"5816" "2012-10-12" 755 141
"5898" "2012-10-12" 800 51
"5954" "2012-10-12" 805 123
"6032" "2012-10-12" 810 440
"6099" "2012-10-12" 815 687
"6144" "2012-10-12" 820 614
"6189" "2012-10-12" 825 474
"6256" "2012-10-12" 830 750
"6324" "2012-10-12" 835 742
"6389" "2012-10-12" 840 770
"6435" "2012-10-12" 845 735
"6518" "2012-10-12" 850 746
"6539" "2012-10-12" 855 748
"6612" "2012-10-12" 900 802
"6693" "2012-10-12" 905 280
"6763" "2012-10-12" 910 31
"6829" "2012-10-12" 915 0
"6844" "2012-10-12" 920 0
"6937" "2012-10-12" 925 0
"7014" "2012-10-12" 930 0
"7069" "2012-10-12" 935 0
"7130" "2012-10-12" 940 0
"7144" "2012-10-12" 945 7
"7255" "2012-10-12" 950 92
"7295" "2012-10-12" 955 0
"7367" "2012-10-12" 1000 0
"7420" "2012-10-12" 1005 0
"7460" "2012-10-12" 1010 0
"7563" "2012-10-12" 1015 0
"7588" "2012-10-12" 1020 46
"7677" "2012-10-12" 1025 7
"7722" "2012-10-12" 1030 0
"7767" "2012-10-12" 1035 328
"7851" "2012-10-12" 1040 156
"7913" "2012-10-12" 1045 0
"7984" "2012-10-12" 1050 0
"8024" "2012-10-12" 1055 0
"8082" "2012-10-12" 1100 129
"8165" "2012-10-12" 1105 339
"8233" "2012-10-12" 1110 150
"8258" "2012-10-12" 1115 0
"8346" "2012-10-12" 1120 0
"8381" "2012-10-12" 1125 0
"8450" "2012-10-12" 1130 70
"8540" "2012-10-12" 1135 0
"8575" "2012-10-12" 1140 9
"8662" "2012-10-12" 1145 0
"8707" "2012-10-12" 1150 0
"8765" "2012-10-12" 1155 0
"8806" "2012-10-12" 1200 70
"8905" "2012-10-12" 1205 0
"8964" "2012-10-12" 1210 0
"9010" "2012-10-12" 1215 0
"9041" "2012-10-12" 1220 0
"9122" "2012-10-12" 1225 0
"9176" "2012-10-12" 1230 0
"9262" "2012-10-12" 1235 0
"9330" "2012-10-12" 1240 18
"9370" "2012-10-12" 1245 91
"9450" "2012-10-12" 1250 0
"9480" "2012-10-12" 1255 0
"9560" "2012-10-12" 1300 0
"9606" "2012-10-12" 1305 75
"9660" "2012-10-12" 1310 0
"9727" "2012-10-12" 1315 0
"9764" "2012-10-12" 1320 0
"9849" "2012-10-12" 1325 0
"9917" "2012-10-12" 1330 99
"9944" "2012-10-12" 1335 0
"10053" "2012-10-12" 1340 0
"10120" "2012-10-12" 1345 0
"10138" "2012-10-12" 1350 0
"10189" "2012-10-12" 1355 96
"10260" "2012-10-12" 1400 16
"10318" "2012-10-12" 1405 20
"10397" "2012-10-12" 1410 144
"10455" "2012-10-12" 1415 321
"10521" "2012-10-12" 1420 267
"10590" "2012-10-12" 1425 0
"10657" "2012-10-12" 1430 0
"10714" "2012-10-12" 1435 0
"10787" "2012-10-12" 1440 0
"10840" "2012-10-12" 1445 0
"10880" "2012-10-12" 1450 9
"10947" "2012-10-12" 1455 0
"11001" "2012-10-12" 1500 0
"11090" "2012-10-12" 1505 24
"11156" "2012-10-12" 1510 78
"11197" "2012-10-12" 1515 0
"11250" "2012-10-12" 1520 26
"11305" "2012-10-12" 1525 35
"11389" "2012-10-12" 1530 0
"11443" "2012-10-12" 1535 0
"11520" "2012-10-12" 1540 0
"11581" "2012-10-12" 1545 365
"11648" "2012-10-12" 1550 90
"11662" "2012-10-12" 1555 432
"11745" "2012-10-12" 1600 275
"11786" "2012-10-12" 1605 34
"11837" "2012-10-12" 1610 0
"11955" "2012-10-12" 1615 92
"12003" "2012-10-12" 1620 15
"12057" "2012-10-12" 1625 0
"12117" "2012-10-12" 1630 0
"12200" "2012-10-12" 1635 0
"12225" "2012-10-12" 1640 0
"12306" "2012-10-12" 1645 20
"12360" "2012-10-12" 1650 10
"12427" "2012-10-12" 1655 9
"12458" "2012-10-12" 1700 0
"12562" "2012-10-12" 1705 0
"12595" "2012-10-12" 1710 32
"12676" "2012-10-12" 1715 24
"12717" "2012-10-12" 1720 0
"12761" "2012-10-12" 1725 0
"12867" "2012-10-12" 1730 38
"12925" "2012-10-12" 1735 40
"12974" "2012-10-12" 1740 19
"13032" "2012-10-12" 1745 71
"13100" "2012-10-12" 1750 2
"13129" "2012-10-12" 1755 21
"13202" "2012-10-12" 1800 0
"13266" "2012-10-12" 1805 433
"13348" "2012-10-12" 1810 463
"13412" "2012-10-12" 1815 511
"13470" "2012-10-12" 1820 298
"13497" "2012-10-12" 1825 500
"13598" "2012-10-12" 1830 473
"13651" "2012-10-12" 1835 506
"13705" "2012-10-12" 1840 24
"13779" "2012-10-12" 1845 35
"13838" "2012-10-12" 1850 41
"13902" "2012-10-12" 1855 46
"13951" "2012-10-12" 1900 0
"14005" "2012-10-12" 1905 0
"14088" "2012-10-12" 1910 0
"14137" "2012-10-12" 1915 16
"14186" "2012-10-12" 1920 23
"14239" "2012-10-12" 1925 0
"14293" "2012-10-12" 1930 0
"14386" "2012-10-12" 1935 0
"14447" "2012-10-12" 1940 18
"14501" "2012-10-12" 1945 54
"14555" "2012-10-12" 1950 36
"14595" "2012-10-12" 1955 0
"14644" "2012-10-12" 2000 0
"14747" "2012-10-12" 2005 0
"14821" "2012-10-12" 2010 0
"14878" "2012-10-12" 2015 0
"14939" "2012-10-12" 2020 0
"14983" "2012-10-12" 2025 0
"15024" "2012-10-12" 2030 0
"15107" "2012-10-12" 2035 0
"15184" "2012-10-12" 2040 0
"15248" "2012-10-12" 2045 18
"15296" "2012-10-12" 2050 30
"15354" "2012-10-12" 2055 23
"15408" "2012-10-12" 2100 70
"15453" "2012-10-12" 2105 113
"15518" "2012-10-12" 2110 0
"15599" "2012-10-12" 2115 0
"15640" "2012-10-12" 2120 0
"15724" "2012-10-12" 2125 0
"15779" "2012-10-12" 2130 0
"15857" "2012-10-12" 2135 0
"15900" "2012-10-12" 2140 0
"15968" "2012-10-12" 2145 0
"15997" "2012-10-12" 2150 0
"16050" "2012-10-12" 2155 0
"16144" "2012-10-12" 2200 0
"16225" "2012-10-12" 2205 0
"16286" "2012-10-12" 2210 0
"16335" "2012-10-12" 2215 9
"16402" "2012-10-12" 2220 0
"16447" "2012-10-12" 2225 0
"16478" "2012-10-12" 2230 8
"16560" "2012-10-12" 2235 0
"16641" "2012-10-12" 2240 0
"16702" "2012-10-12" 2245 0
"16750" "2012-10-12" 2250 0
"16784" "2012-10-12" 2255 0
"16876" "2012-10-12" 2300 0
"16943" "2012-10-12" 2305 0
"16971" "2012-10-12" 2310 0
"17066" "2012-10-12" 2315 0
"17134" "2012-10-12" 2320 0
"17177" "2012-10-12" 2325 0
"17246" "2012-10-12" 2330 0
"17300" "2012-10-12" 2335 0
"17379" "2012-10-12" 2340 0
"17436" "2012-10-12" 2345 0
"17489" "2012-10-12" 2350 0
"17546" "2012-10-12" 2355 0
"56" "2012-10-13" 0 0
"62" "2012-10-13" 5 0
"183" "2012-10-13" 10 0
"239" "2012-10-13" 15 0
"302" "2012-10-13" 20 0
"330" "2012-10-13" 25 0
"387" "2012-10-13" 30 0
"458" "2012-10-13" 35 0
"547" "2012-10-13" 40 0
"606" "2012-10-13" 45 0
"669" "2012-10-13" 50 0
"718" "2012-10-13" 55 0
"772" "2012-10-13" 100 0
"842" "2012-10-13" 105 0
"914" "2012-10-13" 110 0
"973" "2012-10-13" 115 0
"1023" "2012-10-13" 120 0
"1087" "2012-10-13" 125 0
"1147" "2012-10-13" 130 0
"1182" "2012-10-13" 135 0
"1261" "2012-10-13" 140 0
"1319" "2012-10-13" 145 0
"1360" "2012-10-13" 150 0
"1442" "2012-10-13" 155 0
"1497" "2012-10-13" 200 0
"1552" "2012-10-13" 205 0
"1622" "2012-10-13" 210 0
"1675" "2012-10-13" 215 0
"1709" "2012-10-13" 220 0
"1775" "2012-10-13" 225 0
"1867" "2012-10-13" 230 0
"1948" "2012-10-13" 235 0
"2001" "2012-10-13" 240 0
"2067" "2012-10-13" 245 0
"2088" "2012-10-13" 250 0
"2169" "2012-10-13" 255 0
"2210" "2012-10-13" 300 0
"2293" "2012-10-13" 305 0
"2375" "2012-10-13" 310 0
"2415" "2012-10-13" 315 0
"2469" "2012-10-13" 320 0
"2539" "2012-10-13" 325 0
"2623" "2012-10-13" 330 0
"2682" "2012-10-13" 335 0
"2745" "2012-10-13" 340 10
"2802" "2012-10-13" 345 0
"2839" "2012-10-13" 350 0
"2896" "2012-10-13" 355 0
"2964" "2012-10-13" 400 0
"3006" "2012-10-13" 405 0
"3087" "2012-10-13" 410 0
"3165" "2012-10-13" 415 0
"3219" "2012-10-13" 420 0
"3237" "2012-10-13" 425 0
"3343" "2012-10-13" 430 24
"3389" "2012-10-13" 435 29
"3430" "2012-10-13" 440 0
"3537" "2012-10-13" 445 9
"3580" "2012-10-13" 450 33
"3607" "2012-10-13" 455 0
"3691" "2012-10-13" 500 0
"3735" "2012-10-13" 505 0
"3828" "2012-10-13" 510 0
"3884" "2012-10-13" 515 0
"3941" "2012-10-13" 520 0
"3982" "2012-10-13" 525 0
"4030" "2012-10-13" 530 0
"4133" "2012-10-13" 535 0
"4173" "2012-10-13" 540 0
"4212" "2012-10-13" 545 0
"4324" "2012-10-13" 550 0
"4389" "2012-10-13" 555 39
"4436" "2012-10-13" 600 0
"4476" "2012-10-13" 605 0
"4519" "2012-10-13" 610 0
"4597" "2012-10-13" 615 55
"4641" "2012-10-13" 620 0
"4758" "2012-10-13" 625 0
"4793" "2012-10-13" 630 0
"4860" "2012-10-13" 635 69
"4901" "2012-10-13" 640 26
"4995" "2012-10-13" 645 12
"5023" "2012-10-13" 650 28
"5079" "2012-10-13" 655 0
"5175" "2012-10-13" 700 0
"5216" "2012-10-13" 705 0
"5270" "2012-10-13" 710 32
"5351" "2012-10-13" 715 0
"5396" "2012-10-13" 720 0
"5463" "2012-10-13" 725 6
"5546" "2012-10-13" 730 52
"5573" "2012-10-13" 735 32
"5627" "2012-10-13" 740 8
"5708" "2012-10-13" 745 88
"5752" "2012-10-13" 750 0
"5807" "2012-10-13" 755 0
"5865" "2012-10-13" 800 73
"5942" "2012-10-13" 805 0
"5981" "2012-10-13" 810 7
"6046" "2012-10-13" 815 0
"6145" "2012-10-13" 820 24
"6205" "2012-10-13" 825 103
"6246" "2012-10-13" 830 23
"6299" "2012-10-13" 835 67
"6365" "2012-10-13" 840 248
"6415" "2012-10-13" 845 512
"6489" "2012-10-13" 850 542
"6548" "2012-10-13" 855 265
"6616" "2012-10-13" 900 18
"6669" "2012-10-13" 905 497
"6736" "2012-10-13" 910 476
"6790" "2012-10-13" 915 479
"6865" "2012-10-13" 920 491
"6920" "2012-10-13" 925 504
"6955" "2012-10-13" 930 488
"7018" "2012-10-13" 935 498
"7083" "2012-10-13" 940 55
"7150" "2012-10-13" 945 120
"7237" "2012-10-13" 950 57
"7261" "2012-10-13" 955 0
"7331" "2012-10-13" 1000 0
"7386" "2012-10-13" 1005 0
"7457" "2012-10-13" 1010 0
"7557" "2012-10-13" 1015 0
"7608" "2012-10-13" 1020 15
"7630" "2012-10-13" 1025 29
"7702" "2012-10-13" 1030 88
"7797" "2012-10-13" 1035 0
"7863" "2012-10-13" 1040 0
"7897" "2012-10-13" 1045 22
"7952" "2012-10-13" 1050 0
"8010" "2012-10-13" 1055 69
"8091" "2012-10-13" 1100 22
"8167" "2012-10-13" 1105 0
"8235" "2012-10-13" 1110 20
"8290" "2012-10-13" 1115 80
"8335" "2012-10-13" 1120 6
"8376" "2012-10-13" 1125 79
"8430" "2012-10-13" 1130 6
"8500" "2012-10-13" 1135 79
"8595" "2012-10-13" 1140 0
"8609" "2012-10-13" 1145 0
"8690" "2012-10-13" 1150 0
"8781" "2012-10-13" 1155 0
"8813" "2012-10-13" 1200 23
"8870" "2012-10-13" 1205 74
"8938" "2012-10-13" 1210 335
"8977" "2012-10-13" 1215 429
"9032" "2012-10-13" 1220 64
"9105" "2012-10-13" 1225 0
"9197" "2012-10-13" 1230 0
"9265" "2012-10-13" 1235 0
"9296" "2012-10-13" 1240 0
"9340" "2012-10-13" 1245 81
"9407" "2012-10-13" 1250 38
"9475" "2012-10-13" 1255 9
"9520" "2012-10-13" 1300 0
"9624" "2012-10-13" 1305 0
"9688" "2012-10-13" 1310 0
"9747" "2012-10-13" 1315 0
"9787" "2012-10-13" 1320 0
"9832" "2012-10-13" 1325 0
"9894" "2012-10-13" 1330 0
"9955" "2012-10-13" 1335 11
"10036" "2012-10-13" 1340 38
"10104" "2012-10-13" 1345 139
"10144" "2012-10-13" 1350 532
"10224" "2012-10-13" 1355 507
"10278" "2012-10-13" 1400 210
"10321" "2012-10-13" 1405 276
"10389" "2012-10-13" 1410 518
"10438" "2012-10-13" 1415 495
"10523" "2012-10-13" 1420 214
"10568" "2012-10-13" 1425 98
"10631" "2012-10-13" 1430 161
"10692" "2012-10-13" 1435 0
"10752" "2012-10-13" 1440 0
"10801" "2012-10-13" 1445 0
"10860" "2012-10-13" 1450 12
"10920" "2012-10-13" 1455 120
"10994" "2012-10-13" 1500 194
"11082" "2012-10-13" 1505 0
"11122" "2012-10-13" 1510 0
"11190" "2012-10-13" 1515 114
"11233" "2012-10-13" 1520 7
"11325" "2012-10-13" 1525 0
"11369" "2012-10-13" 1530 34
"11449" "2012-10-13" 1535 0
"11490" "2012-10-13" 1540 0
"11572" "2012-10-13" 1545 18
"11613" "2012-10-13" 1550 31
"11695" "2012-10-13" 1555 15
"11736" "2012-10-13" 1600 0
"11828" "2012-10-13" 1605 0
"11887" "2012-10-13" 1610 18
"11927" "2012-10-13" 1615 39
"11973" "2012-10-13" 1620 66
"12040" "2012-10-13" 1625 111
"12095" "2012-10-13" 1630 7
"12176" "2012-10-13" 1635 0
"12230" "2012-10-13" 1640 0
"12271" "2012-10-13" 1645 71
"12339" "2012-10-13" 1650 41
"12397" "2012-10-13" 1655 0
"12464" "2012-10-13" 1700 0
"12532" "2012-10-13" 1705 0
"12610" "2012-10-13" 1710 0
"12654" "2012-10-13" 1715 0
"12699" "2012-10-13" 1720 0
"12753" "2012-10-13" 1725 0
"12862" "2012-10-13" 1730 0
"12916" "2012-10-13" 1735 0
"12970" "2012-10-13" 1740 0
"13017" "2012-10-13" 1745 0
"13105" "2012-10-13" 1750 0
"13119" "2012-10-13" 1755 20
"13204" "2012-10-13" 1800 43
"13298" "2012-10-13" 1805 23
"13355" "2012-10-13" 1810 0
"13394" "2012-10-13" 1815 25
"13463" "2012-10-13" 1820 54
"13516" "2012-10-13" 1825 0
"13588" "2012-10-13" 1830 19
"13643" "2012-10-13" 1835 0
"13697" "2012-10-13" 1840 0
"13765" "2012-10-13" 1845 0
"13830" "2012-10-13" 1850 0
"13888" "2012-10-13" 1855 0
"13929" "2012-10-13" 1900 9
"13997" "2012-10-13" 1905 28
"14068" "2012-10-13" 1910 8
"14100" "2012-10-13" 1915 0
"14163" "2012-10-13" 1920 48
"14232" "2012-10-13" 1925 64
"14286" "2012-10-13" 1930 0
"14359" "2012-10-13" 1935 0
"14403" "2012-10-13" 1940 67
"14470" "2012-10-13" 1945 29
"14526" "2012-10-13" 1950 0
"14603" "2012-10-13" 1955 0
"14676" "2012-10-13" 2000 0
"14720" "2012-10-13" 2005 0
"14775" "2012-10-13" 2010 0
"14829" "2012-10-13" 2015 36
"14941" "2012-10-13" 2020 22
"14991" "2012-10-13" 2025 0
"15032" "2012-10-13" 2030 9
"15090" "2012-10-13" 2035 0
"15140" "2012-10-13" 2040 0
"15222" "2012-10-13" 2045 0
"15252" "2012-10-13" 2050 29
"15362" "2012-10-13" 2055 129
"15417" "2012-10-13" 2100 0
"15470" "2012-10-13" 2105 0
"15500" "2012-10-13" 2110 0
"15560" "2012-10-13" 2115 0
"15618" "2012-10-13" 2120 0
"15719" "2012-10-13" 2125 0
"15796" "2012-10-13" 2130 0
"15827" "2012-10-13" 2135 0
"15889" "2012-10-13" 2140 0
"15949" "2012-10-13" 2145 0
"16003" "2012-10-13" 2150 0
"16056" "2012-10-13" 2155 0
"16116" "2012-10-13" 2200 0
"16194" "2012-10-13" 2205 0
"16230" "2012-10-13" 2210 0
"16291" "2012-10-13" 2215 0
"16373" "2012-10-13" 2220 0
"16426" "2012-10-13" 2225 0
"16480" "2012-10-13" 2230 0
"16533" "2012-10-13" 2235 0
"16605" "2012-10-13" 2240 0
"16660" "2012-10-13" 2245 0
"16728" "2012-10-13" 2250 0
"16778" "2012-10-13" 2255 0
"16866" "2012-10-13" 2300 0
"16920" "2012-10-13" 2305 0
"16965" "2012-10-13" 2310 0
"17043" "2012-10-13" 2315 0
"17124" "2012-10-13" 2320 0
"17152" "2012-10-13" 2325 0
"17259" "2012-10-13" 2330 0
"17285" "2012-10-13" 2335 0
"17384" "2012-10-13" 2340 0
"17427" "2012-10-13" 2345 0
"17505" "2012-10-13" 2350 0
"17550" "2012-10-13" 2355 0
"21" "2012-10-14" 0 0
"115" "2012-10-14" 5 0
"168" "2012-10-14" 10 0
"225" "2012-10-14" 15 0
"256" "2012-10-14" 20 0
"348" "2012-10-14" 25 52
"422" "2012-10-14" 30 0
"476" "2012-10-14" 35 0
"542" "2012-10-14" 40 0
"596" "2012-10-14" 45 0
"663" "2012-10-14" 50 0
"722" "2012-10-14" 55 0
"779" "2012-10-14" 100 0
"833" "2012-10-14" 105 0
"873" "2012-10-14" 110 0
"922" "2012-10-14" 115 0
"1033" "2012-10-14" 120 0
"1052" "2012-10-14" 125 0
"1155" "2012-10-14" 130 0
"1202" "2012-10-14" 135 9
"1265" "2012-10-14" 140 0
"1298" "2012-10-14" 145 0
"1343" "2012-10-14" 150 0
"1407" "2012-10-14" 155 0
"1479" "2012-10-14" 200 0
"1583" "2012-10-14" 205 0
"1627" "2012-10-14" 210 4
"1694" "2012-10-14" 215 0
"1720" "2012-10-14" 220 0
"1778" "2012-10-14" 225 0
"1832" "2012-10-14" 230 0
"1900" "2012-10-14" 235 0
"1996" "2012-10-14" 240 0
"2065" "2012-10-14" 245 0
"2084" "2012-10-14" 250 0
"2137" "2012-10-14" 255 0
"2198" "2012-10-14" 300 0
"2298" "2012-10-14" 305 0
"2365" "2012-10-14" 310 0
"2421" "2012-10-14" 315 0
"2461" "2012-10-14" 320 0
"2531" "2012-10-14" 325 0
"2572" "2012-10-14" 330 0
"2684" "2012-10-14" 335 0
"2738" "2012-10-14" 340 0
"2797" "2012-10-14" 345 0
"2819" "2012-10-14" 350 0
"2914" "2012-10-14" 355 0
"2955" "2012-10-14" 400 0
"3022" "2012-10-14" 405 0
"3065" "2012-10-14" 410 0
"3136" "2012-10-14" 415 0
"3202" "2012-10-14" 420 0
"3242" "2012-10-14" 425 0
"3311" "2012-10-14" 430 0
"3365" "2012-10-14" 435 0
"3434" "2012-10-14" 440 0
"3504" "2012-10-14" 445 0
"3545" "2012-10-14" 450 45
"3604" "2012-10-14" 455 0
"3682" "2012-10-14" 500 0
"3727" "2012-10-14" 505 0
"3819" "2012-10-14" 510 0
"3850" "2012-10-14" 515 0
